frame_number,timestamp,rep_count,state,angle,pose_detected
437,2025-11-02 18:52:27.045,6,down,50.32,True
438,2025-11-02 18:52:27.092,6,down,44.35,True
439,2025-11-02 18:52:27.142,6,down,37.63,True
440,2025-11-02 18:52:27.191,6,down,32.66,True
441,2025-11-02 18:52:27.242,6,down,30.87,True
442,2025-11-02 18:52:27.296,6,down,29.47,True
443,2025-11-02 18:52:27.345,6,down,28.73,True
444,2025-11-02 18:52:27.394,6,down,29.21,True
445,2025-11-02 18:52:27.443,6,down,29.23,True
446,2025-11-02 18:52:27.494,6,down,30.33,True
447,2025-11-02 18:52:27.547,6,down,31.26,True
448,2025-11-02 18:52:27.595,6,down,34.16,True
449,2025-11-02 18:52:27.646,6,down,41.68,True
450,2025-11-02 18:52:27.695,6,down,48.89,True
451,2025-11-02 18:52:27.746,6,down,54.51,True
452,2025-11-02 18:52:27.801,6,down,58.33,True
453,2025-11-02 18:52:27.850,6,down,62.23,True
454,2025-11-02 18:52:27.900,6,down,65.30,True
455,2025-11-02 18:52:27.946,6,down,69.40,True
456,2025-11-02 18:52:27.999,6,down,75.06,True
457,2025-11-02 18:52:28.049,6,down,82.04,True
458,2025-11-02 18:52:28.100,6,down,86.77,True
459,2025-11-02 18:52:28.148,6,down,91.01,True
460,2025-11-02 18:52:28.200,6,down,95.57,True
461,2025-11-02 18:52:28.252,6,down,100.16,True
462,2025-11-02 18:52:28.302,6,down,102.24,True
463,2025-11-02 18:52:28.352,6,down,105.07,True
464,2025-11-02 18:52:28.402,6,down,106.99,True
465,2025-11-02 18:52:28.453,6,down,110.88,True
466,2025-11-02 18:52:28.506,6,down,115.53,True
467,2025-11-02 18:52:28.553,6,down,119.13,True
468,2025-11-02 18:52:28.605,6,down,122.93,True
469,2025-11-02 18:52:28.653,6,down,124.72,True
470,2025-11-02 18:52:28.705,6,down,125.87,True
471,2025-11-02 18:52:28.753,6,down,128.45,True
472,2025-11-02 18:52:28.805,6,down,130.48,True
473,2025-11-02 18:52:28.856,6,down,131.83,True
474,2025-11-02 18:52:28.902,6,down,133.16,True
475,2025-11-02 18:52:28.956,6,down,134.43,True
476,2025-11-02 18:52:29.004,6,down,135.76,True
477,2025-11-02 18:52:29.054,6,down,137.81,True
478,2025-11-02 18:52:29.109,6,down,140.26,True
479,2025-11-02 18:52:29.157,6,down,143.58,True
480,2025-11-02 18:52:29.207,6,down,145.79,True
481,2025-11-02 18:52:29.255,6,down,150.18,True
482,2025-11-02 18:52:29.308,6,down,155.02,True
483,2025-11-02 18:52:29.356,6,down,159.07,True
484,2025-11-02 18:52:29.410,6,up,161.64,True
485,2025-11-02 18:52:29.461,6,up,161.62,True
486,2025-11-02 18:52:29.509,6,up,162.41,True
487,2025-11-02 18:52:29.561,6,up,163.82,True
488,2025-11-02 18:52:29.607,6,up,163.67,True
489,2025-11-02 18:52:29.659,6,up,163.64,True
490,2025-11-02 18:52:29.713,6,up,163.12,True
491,2025-11-02 18:52:29.759,6,up,162.57,True
492,2025-11-02 18:52:29.812,6,up,162.06,True
493,2025-11-02 18:52:29.860,6,up,160.92,True
494,2025-11-02 18:52:29.913,6,up,159.26,True
495,2025-11-02 18:52:29.961,6,up,157.43,True
496,2025-11-02 18:52:30.010,6,up,157.11,True
497,2025-11-02 18:52:30.065,6,up,155.78,True
498,2025-11-02 18:52:30.113,6,up,155.81,True
499,2025-11-02 18:52:30.164,6,up,156.76,True
500,2025-11-02 18:52:30.212,6,up,156.37,True
501,2025-11-02 18:52:30.266,6,up,154.31,True
502,2025-11-02 18:52:30.314,6,up,150.51,True
